model,image_index,IoU,Dice,Boundary_F1
Model A (Baseline U-Net),204,0.4904721744793057,0.6581409007563603,0.46836885996843103
Model A (Baseline U-Net),205,0.9653287747092674,0.9823584541595457,0.8534812793594951
Model A (Baseline U-Net),206,0.7582751221293886,0.8625206920055828,0.6004971020903049
Model A (Baseline U-Net),207,0.7438210497331742,0.853092221512087,0.6282565689608985
Model A (Baseline U-Net),208,1.0,1.0,1.0
Model A (Baseline U-Net),209,0.7224517697098587,0.8388630190143578,0.6683022455333797
Model A (Baseline U-Net),210,0.7865116098168099,0.8804985576661405,0.7554177417372162
Model A (Baseline U-Net),211,0.7085675812152836,0.8294271218166592,0.6019950769601068
Model A (Baseline U-Net),212,0.9860341314872828,0.9929679420889348,0.6695042600757822
Model A (Baseline U-Net),213,0.9750848025818621,0.9873852155301374,0.6467182829638886
Model A (Baseline U-Net),214,0.9834540938383526,0.9916580101569714,0.6802418311393389
Model A (Baseline U-Net),215,0.655749167728921,0.7920867933836115,0.420778727689826
Model A (Baseline U-Net),216,0.8243683441219462,0.9037296050636099,0.5360586766835267
Model A (Baseline U-Net),217,0.8636022514071294,0.9268090981655532,0.7343313952310105
Model A (Baseline U-Net),218,0.7978597456910469,0.8875652099546737,0.6637458676322374
Model A (Baseline U-Net),219,0.8881437198434133,0.9407581224535716,0.8076981595554499
Model A (Baseline U-Net),220,0.694813433406197,0.8199274839454506,0.6686697462604866
Model A (Baseline U-Net),221,0.9211089957163255,0.9589342307652603,0.818020673234871
Model A (Baseline U-Net),222,0.9552590527398852,0.9771174428572641,0.8910134377620966
Model A (Baseline U-Net),223,0.9542833028555352,0.9766067559688761,0.8271970449470459
Model A (Baseline U-Net),224,0.970959061291953,0.9852654778323757,0.9413099600667387
Model A (Baseline U-Net),225,0.9731446175601626,0.9863894647930584,0.9258375878763836
Model A (Baseline U-Net),226,0.9740169734698344,0.9868374046835926,0.9341340546516688
Model A (Baseline U-Net),227,0.9829367188884373,0.9913948989675981,0.9523765939086142
Model A (Baseline U-Net),228,0.9778957588778483,0.9888243066108926,0.9264610126536715
Model A (Baseline U-Net),229,0.9757216267212654,0.9877115802735049,0.9072593597617512
Model A (Baseline U-Net),230,0.9849811388719344,0.9924337130759149,0.9105566014778688
Model A (Baseline U-Net),231,0.9760717045899369,0.9878909166637038,0.8633688186617064
Model A (Baseline U-Net),232,0.9795761271618515,0.9896826519069166,0.8749183765686486
Model A (Baseline U-Net),233,0.9836324551317303,0.9917486592201299,0.8935893977040279
Model A (Baseline U-Net),234,0.9697195018148732,0.9846269234972135,0.8239245701215545
Model A (Baseline U-Net),235,0.9663598071168544,0.9828920649229174,0.8045514038458066
Model A (Baseline U-Net),236,0.9822004694601209,0.9910202724153049,0.9422555117460242
Model A (Baseline U-Net),237,0.977536981798259,0.9886408529108456,0.9171970088758216
